tourney_name,round,winner_name,loser_name,surface,total_ServiceGames,total_aces
Adelaide 1,F,Novak Djokovic,Sebastian Korda,Hard,34,22
Adelaide 1,SF,Novak Djokovic,Daniil Medvedev,Hard,19,10
Adelaide 1,SF,Sebastian Korda,Yoshihito Nishioka,Hard,13,9
Adelaide 1,QF,Novak Djokovic,Denis Shapovalov,Hard,19,10
Adelaide 1,QF,Daniil Medvedev,Karen Khachanov,Hard,18,7
Adelaide 1,QF,Sebastian Korda,Jannik Sinner,Hard,19,13
Adelaide 1,QF,Yoshihito Nishioka,Alexei Popyrin,Hard,32,29
Adelaide 1,R16,Novak Djokovic,Quentin Halys,Hard,24,21
Adelaide 1,R16,Denis Shapovalov,Roman Safiullin,Hard,19,10
Adelaide 1,R16,Daniil Medvedev,Miomir Kecmanovic,Hard,15,7
Adelaide 1,R16,Karen Khachanov,Jack Draper,Hard,18,13
Adelaide 1,R16,Jannik Sinner,Thanasi Kokkinakis,Hard,22,14
Adelaide 1,R16,Sebastian Korda,Roberto Bautista Agut,Hard,20,17
Adelaide 1,R16,Yoshihito Nishioka,Mackenzie Mcdonald,Hard,19,3
Adelaide 1,R16,Alexei Popyrin,Marcos Giron,Hard,29,20
Adelaide 1,R32,Novak Djokovic,Constant Lestienne,Hard,17,7
Adelaide 1,R32,Quentin Halys,Jordan Thompson,Hard,19,19
Adelaide 1,R32,Roman Safiullin,Mikael Ymer,Hard,18,6
Adelaide 1,R32,Denis Shapovalov,Rinky Hijikata,Hard,27,9
Adelaide 1,R32,Daniil Medvedev,Lorenzo Sonego,Hard,15,6
Adelaide 1,R32,Miomir Kecmanovic,Christopher Oconnell,Hard,20,13
Adelaide 1,R32,Jack Draper,Soon Woo Kwon,Hard,15,10
Adelaide 1,R32,Karen Khachanov,Pedro Cachin,Hard,18,9
Adelaide 1,R32,Jannik Sinner,Kyle Edmund,Hard,17,6
Adelaide 1,R32,Thanasi Kokkinakis,Maxime Cressy,Hard,24,41
Adelaide 1,R32,Sebastian Korda,Andy Murray,Hard,21,15
Adelaide 1,R32,Roberto Bautista Agut,Andrey Rublev,Hard,29,23
Adelaide 1,R32,Yoshihito Nishioka,Holger Rune,Hard,28,14
Adelaide 1,R32,Mackenzie Mcdonald,Daniel Elahi Galan,Hard,9,6
Adelaide 1,R32,Marcos Giron,Richard Gasquet,Hard,36,23
Adelaide 1,R32,Alexei Popyrin,Felix Auger Aliassime,Hard,22,18
Pune,F,Tallon Griekspoor,Benjamin Bonzi,Hard,31,28
Pune,SF,Tallon Griekspoor,Aslan Karatsev,Hard,19,14
Pune,SF,Benjamin Bonzi,Botic Van De Zandschulp,Hard,31,19
Pune,QF,Aslan Karatsev,Pedro Martinez,Hard,15,14
Pune,QF,Benjamin Bonzi,Filip Krajinovic,Hard,22,13
Pune,QF,Botic Van De Zandschulp,Maximilian Marterer,Hard,18,4
